Team,Scored,Allowed,Count,"Succ. rate"
"TORONTO MAPLE LEAFS",8,1,22,0.3181818
"CHICAGO BLACKHAWKS",8,0,26,0.3076923
"MONTREAL CANADIENS",10,2,28,0.2857143
"WINNIPEG JETS",8,2,22,0.2727273
"ST. LOUIS BLUES",9,3,27,0.2222222
"BOSTON BRUINS",14,7,37,0.1891892
"NEW YORK RANGERS",7,2,27,0.1851852
"ANAHEIM DUCKS",8,2,33,0.1818182
"LOS ANGELES KINGS",9,4,29,0.1724138
"COLORADO AVALANCHE",13,7,35,0.1714286
"PITTSBURGH PENGUINS",8,3,31,0.1612903
"FLORIDA PANTHERS",4,1,19,0.1578947
"OTTAWA SENATORS",8,4,26,0.1538462
"MINNESOTA WILD",7,3,28,0.1428571
"TAMPA BAY LIGHTNING",9,5,30,0.1333333
"BUFFALO SABRES",5,3,15,0.1333333
"WASHINGTON CAPITALS",4,2,16,0.125
"PHILADELPHIA FLYERS",12,8,35,0.1142857
"SAN JOSE SHARKS",7,4,29,0.1034483
"EDMONTON OILERS",8,6,21,0.0952381
"CAROLINA HURRICANES",8,6,29,0.0689655
"CALGARY FLAMES",3,2,19,0.0526316
"NEW YORK ISLANDERS",6,5,27,0.037037
"DETROIT RED WINGS",6,5,28,0.0357143
"NASHVILLE PREDATORS",6,5,29,0.0344828
"DALLAS STARS",8,7,29,0.0344828
"COLUMBUS BLUE JACKETS",8,7,32,0.03125
"PHOENIX COYOTES",5,6,29,-0.0344828
"NEW JERSEY DEVILS",5,6,23,-0.0434783
"VANCOUVER CANUCKS",2,9,26,-0.2692308
