Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Vancouver Canucks,54-19-9,4-5,4-4,27-9-5,27-10-4,11-5-2,43-14-7,3-2-0,4-3-1,4-0-1,12-5-3,18-4-2,13-5-2,19-7-9,20-6-0,4-3-2,8-4-1,11-1-2,8-2-4,8-5-0,13-2-0,2-2-0
2,Washington Capitals,48-23-11,5-6,9-5,25-8-8,23-15-3,40-14-10,8-9-1,13-3-4,13-4-3,14-7-3,5-1-0,2-3-0,1-5-1,26-9-11,14-8-0,7-4-0,10-2-2,5-6-3,5-3-4,6-5-1,12-2-1,3-1-0
3,Pittsburgh Penguins,49-25-8,10-3,5-5,25-14-2,24-11-6,38-21-5,11-4-3,12-9-3,12-6-2,14-6-0,4-1-2,4-1-0,3-2-1,24-8-8,18-11-0,6-5-1,10-3-1,9-3-1,6-4-1,6-6-2,8-4-2,4-0-0
4,Philadelphia Flyers,47-23-12,3-7,3-5,22-12-7,25-11-5,38-18-8,9-5-4,17-4-3,11-8-1,10-6-4,3-1-1,3-1-1,3-3-2,20-9-12,20-10-0,6-4-1,9-2-3,8-4-1,10-2-0,7-4-1,6-5-4,1-2-2
5,San Jose Sharks,48-25-9,5-5,5-4,25-11-5,23-14-4,9-8-1,39-17-8,4-1-1,2-4-0,3-3-0,13-6-1,12-6-2,14-5-5,21-9-9,16-10-0,5-3-1,6-5-3,9-5-1,5-6-1,11-2-0,9-2-3,3-2-0
6,Detroit Red Wings,47-25-10,4-4,9-6,21-14-6,26-11-4,12-4-2,35-21-8,3-2-2,6-0-0,3-2-0,12-10-2,15-3-2,8-8-4,21-7-10,12-13-0,6-2-1,10-2-1,8-5-3,6-4-1,9-5-0,5-5-4,3-2-0
7,Boston Bruins,46-25-11,2-6,1-5,22-13-6,24-12-5,38-18-8,8-7-3,12-6-2,11-8-5,15-4-1,2-2-2,4-1-0,2-4-1,16-7-11,20-7-0,6-2-0,6-6-2,8-3-3,8-4-2,8-4-0,7-4-4,3-2-0
8,Tampa Bay Lightning,46-25-11,6-6,8-5,25-11-5,21-14-6,36-19-9,10-6-2,11-6-3,11-7-2,14-6-4,4-2-0,3-2-1,3-2-1,23-7-11,12-14-0,7-2-1,7-6-2,8-3-2,9-4-0,6-3-2,5-6-4,4-1-0
9,Anaheim Ducks,47-30-5,4-2,9-3,26-13-2,21-17-3,11-6-1,36-24-4,5-2-0,3-2-0,3-2-1,8-11-1,14-3-3,14-10-0,29-10-5,11-16-0,4-7-1,8-4-2,8-6-1,8-3-0,5-5-1,11-3-0,3-2-0
10,Nashville Predators,44-27-11,6-4,2-7,24-9-8,20-18-3,10-4-4,34-23-7,2-1-2,3-2-0,5-1-2,13-9-2,11-6-3,10-8-2,18-10-11,19-10-0,5-2-3,5-6-2,8-5-1,9-4-0,5-6-2,10-3-2,2-1-1
11,Phoenix Coyotes,43-26-13,5-6,2-7,21-13-7,22-13-6,6-6-6,37-20-7,2-2-2,2-2-2,2-2-2,12-5-3,14-3-3,11-12-1,21-8-13,12-12-0,3-4-3,8-3-2,6-6-2,8-4-2,8-4-1,9-4-1,1-1-2
12,Los Angeles Kings,46-30-6,10-2,1-4,25-13-3,21-17-3,10-6-2,36-24-4,3-2-2,2-4-0,5-0-0,9-11-0,15-3-2,12-10-2,22-9-6,12-9-0,8-3-0,5-7-0,9-4-1,5-8-0,8-2-3,9-3-2,2-3-0
13,Chicago Blackhawks,44-29-9,6-5,4-4,24-17-0,20-12-9,9-6-3,35-23-6,2-3-0,4-1-1,3-2-2,15-7-2,10-9-1,10-7-3,16-13-9,17-7-0,7-5-1,7-6-1,6-5-1,6-4-1,8-3-2,7-4-2,3-2-1
14,Montreal Canadiens,44-30-8,3-3,5-5,24-11-6,20-19-2,36-22-6,8-8-2,11-8-1,14-7-3,11-7-2,1-4-0,4-3-1,3-1-1,19-5-8,13-17-0,7-3-1,8-5-0,6-8-1,6-2-3,6-5-2,8-7-0,3-0-1
15,Buffalo Sabres,43-29-10,5-1,10-9,21-16-4,22-13-6,33-24-7,10-5-3,8-9-3,15-8-1,10-7-3,2-3-2,3-1-1,5-1-0,21-13-10,10-10-0,3-7-2,6-6-1,6-5-1,8-3-1,6-4-2,10-4-2,4-0-1
16,Dallas Stars,42-29-11,5-7,5-4,22-11-8,20-18-3,11-5-2,31-24-9,3-2-2,3-2-0,5-1-0,14-5-1,8-9-3,9-10-5,23-6-11,13-15-0,6-4-0,8-4-1,8-5-3,8-2-1,3-8-1,5-4-5,4-2-0
17,Calgary Flames,41-29-12,9-7,2-5,23-13-5,18-16-7,9-6-3,32-23-9,1-3-1,6-1-1,2-2-1,13-5-2,13-10-1,6-8-6,19-9-12,14-10-0,6-5-0,4-7-2,7-6-1,7-3-3,8-2-3,6-6-2,3-0-1
18,New York Rangers,44-33-5,9-3,3-2,20-17-4,24-16-1,33-26-5,11-7-0,14-9-1,11-7-2,8-10-2,3-3-0,4-3-0,4-1-0,21-13-5,16-8-0,5-4-1,9-7-0,8-3-1,7-6-1,4-7-1,8-5-1,3-1-0
19,Carolina Hurricanes,40-31-11,5-5,6-6,22-14-5,18-17-6,30-25-9,10-6-2,9-7-4,9-10-1,12-8-4,2-3-1,5-1-0,3-2-1,22-15-11,12-14-0,5-5-0,5-6-3,7-4-1,8-4-2,4-6-3,8-5-1,3-1-1
20,St. Louis Blues,38-33-11,4-6,3-5,23-13-5,15-20-6,11-4-3,27-29-8,4-2-0,4-0-1,3-2-2,12-8-4,7-10-3,8-11-1,14-13-11,13-11-0,6-1-2,6-7-1,8-4-2,2-8-2,6-5-2,7-7-1,3-1-1
21,Minnesota Wild,39-35-8,3-5,5-3,19-17-5,20-18-3,6-10-2,33-25-6,3-3-0,1-3-1,2-4-1,7-10-3,16-7-1,10-8-2,16-6-8,11-20-0,4-4-2,7-6-0,6-5-3,8-4-0,8-5-1,4-8-2,2-3-0
22,Toronto Maple Leafs,37-34-11,5-6,2-5,18-15-8,19-19-3,28-26-10,9-8-1,8-8-4,13-9-2,7-9-4,2-3-0,3-4-1,4-1-0,20-6-11,10-18-0,5-4-1,3-7-3,5-8-0,6-6-1,8-2-4,9-5-1,1-2-1
23,New Jersey Devils,38-39-5,3-2,7-3,22-16-3,16-23-2,30-30-4,8-9-1,11-12-1,7-12-1,12-6-2,2-4-0,2-3-0,4-2-1,21-8-5,10-17-0,3-8-1,5-6-1,2-11-0,6-5-1,11-1-1,8-5-1,3-3-0
24,Columbus Blue Jackets,34-35-13,5-8,5-5,17-19-5,17-16-8,11-4-3,23-31-10,4-2-0,3-2-1,4-0-2,8-11-5,7-9-4,8-11-1,19-10-13,8-19-0,6-4-0,8-4-0,6-7-3,3-6-2,8-3-1,3-7-6,0-4-1
25,Atlanta Thrashers,34-36-12,5-7,10-5,17-17-7,17-19-5,28-26-10,6-10-2,10-8-2,9-11-0,9-7-8,2-3-2,2-4-0,2-3-0,22-6-12,8-16-0,5-4-2,8-5-1,7-6-3,4-4-3,2-7-2,7-6-1,1-4-0
26,Ottawa Senators,32-40-10,2-5,2-5,16-20-5,16-20-5,27-31-6,5-9-4,10-9-1,7-15-2,10-7-3,1-2-2,2-5-1,2-2-1,13-10-10,8-20-0,4-6-1,7-7-0,5-5-4,1-7-3,4-7-1,9-6-1,2-2-0
27,New York Islanders,30-39-13,4-6,7-7,17-18-6,13-21-7,22-34-8,8-5-5,6-13-5,10-10-0,6-11-3,2-2-1,4-1-1,2-2-3,12-15-13,13-15-0,4-5-2,1-7-3,6-7-1,4-8-1,8-5-1,7-4-4,0-3-1
28,Florida Panthers,30-40-12,4-7,6-5,16-17-8,14-23-4,23-31-10,7-9-2,7-11-2,5-11-4,11-9-4,2-4-2,3-2-0,2-3-0,19-18-12,10-13-0,4-5-0,6-7-0,6-5-2,6-5-3,4-7-2,3-8-5,1-3-0
29,Colorado Avalanche,30-44-8,6-1,6-7,16-21-4,14-23-4,8-5-5,22-39-3,3-2-2,3-2-0,2-1-3,11-8-1,7-16-1,4-15-1,20-13-8,7-16-0,6-4-1,7-5-1,7-4-3,5-6-1,1-11-1,2-10-1,2-4-0
30,Edmonton Oilers,25-45-12,2-9,2-3,13-22-6,12-23-6,8-9-1,17-36-11,1-3-1,4-4-0,3-2-0,7-10-3,6-13-5,4-13-3,9-10-12,12-19-0,3-4-2,4-8-2,5-5-3,3-9-1,5-9-0,3-8-3,2-2-1
