Team,Scored,Allowed,Count,"Succ. rate"
"CAROLINA HURRICANES",8,1,16,0.4375
"ANAHEIM DUCKS",9,0,21,0.4285714
"OTTAWA SENATORS",7,1,16,0.375
"PITTSBURGH PENGUINS",10,3,23,0.3043478
"NEW YORK ISLANDERS",8,3,18,0.2777778
"WINNIPEG JETS",5,1,15,0.2666667
"PHILADELPHIA FLYERS",5,1,16,0.25
"FLORIDA PANTHERS",6,3,13,0.2307692
"CALGARY FLAMES",7,3,18,0.2222222
"TAMPA BAY LIGHTNING",4,2,10,0.2
"EDMONTON OILERS",4,2,10,0.2
"VANCOUVER CANUCKS",6,3,16,0.1875
"BOSTON BRUINS",7,3,22,0.1818182
"SAN JOSE SHARKS",2,0,12,0.1666667
"LOS ANGELES KINGS",5,2,18,0.1666667
"PHOENIX COYOTES",4,2,14,0.1428571
"COLUMBUS BLUE JACKETS",2,1,11,0.0909091
"WASHINGTON CAPITALS",3,2,13,0.0769231
"DETROIT RED WINGS",4,3,13,0.0769231
"NEW JERSEY DEVILS",3,2,16,0.0625
"MINNESOTA WILD",3,2,18,0.0555556
"CHICAGO BLACKHAWKS",4,3,19,0.0526316
"TORONTO MAPLE LEAFS",5,4,22,0.0454545
"NASHVILLE PREDATORS",2,2,8,0
"NEW YORK RANGERS",3,3,12,0
"MONTREAL CANADIENS",3,3,14,0
"ST. LOUIS BLUES",3,3,15,0
"COLORADO AVALANCHE",2,2,8,0
"BUFFALO SABRES",3,3,15,0
"DALLAS STARS",1,2,15,-0.0666667
