Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Red Wings,54-21-7,5-5,2-2,29-9-3,25-12-4,7-2-1,47-19-6,,3-1-1,4-1-0,17-12-3,15-2-3,15-5-0,18-11-7,22-5-0,,10-2-1,7-4-1,12-2-1,9-2-1,4-8-2,10-2-1,2-1-0
2,San Jose Sharks,49-23-10,6-6,3-4,22-13-6,27-10-4,5-5-0,44-18-10,2-3-0,3-2-0,,16-4-0,12-4-4,16-10-6,26-7-10,12-6-0,,6-5-1,6-3-3,10-4-1,6-4-2,7-5-1,13-0-2,1-2-0
3,Montreal Canadiens,47-25-10,5-6,5-4,22-13-6,25-12-4,44-20-8,3-5-2,14-5-1,20-11-1,10-4-6,1-2-2,,2-3-0,16-5-10,21-10-0,,6-2-3,7-7-0,6-4-4,8-2-2,8-6-0,9-4-1,3-0-0
4,Anaheim Ducks,47-27-8,8-7,4-1,28-9-4,19-18-4,8-2-0,39-25-8,3-2-0,5-0-0,,13-5-2,9-10-1,17-10-5,24-8-8,14-11-0,1-1-0,3-6-2,8-4-2,7-6-1,8-4-1,10-2-1,8-4-1,2-0-0
5,Pittsburgh Penguins,47-27-8,7-4,1-4,26-10-5,21-17-3,39-26-7,8-1-1,15-14-3,11-7-2,13-5-2,,4-1-0,4-0-1,17-9-8,12-12-0,,6-4-1,5-7-1,9-5-0,8-3-2,8-3-3,10-4-1,1-1-0
6,New Jersey Devils,46-29-7,8-4,7-3,25-14-2,21-15-5,39-26-7,7-3-0,13-15-4,13-6-1,13-5-2,,4-1-0,3-2-0,27-9-7,13-11-0,,4-6-1,9-4-1,8-4-1,7-5-0,9-3-3,6-6-1,3-1-0
7,Minnesota Wild,44-28-10,3-8,6-2,25-11-5,19-17-5,4-4-2,40-24-8,2-2-1,,2-2-1,12-7-1,17-11-4,11-6-3,23-8-10,11-9-0,,7-3-2,7-6-0,8-6-0,7-4-1,7-5-2,7-4-4,1-0-1
8,Dallas Stars,45-30-7,5-3,3-4,23-16-2,22-14-5,6-4-0,39-26-7,3-2-0,3-2-0,,10-9-1,13-6-1,16-11-5,15-11-7,17-8-0,,5-5-2,8-4-2,10-4-0,6-7-1,12-2-0,2-7-2,2-1-0
9,New York Rangers,42-27-13,8-9,4-4,25-13-3,17-14-10,41-20-11,1-7-2,20-7-5,11-6-3,10-7-3,,0-3-2,1-4-0,16-7-13,12-10-0,,4-6-1,10-3-1,6-6-2,5-7-2,8-2-2,8-3-3,1-0-2
10,Colorado Avalanche,44-31-7,7-3,4-4,27-12-2,17-19-5,8-2-0,36-29-7,4-1-0,,4-1-0,7-12-1,20-10-2,9-7-4,19-12-7,12-12-0,,7-4-0,6-6-1,8-5-2,6-5-1,6-6-2,9-5-1,2-0-0
