Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,San Jose Sharks,53-18-11,6-5,4-6,32-5-4,21-13-7,12-3-3,41-15-8,5-1-1,3-1-1,4-1-1,10-5-5,14-3-3,17-7-0,26-7-11,14-7-0,9-2-0,11-1-1,8-1-4,8-3-0,6-3-4,8-5-2,3-3-0
2,Boston Bruins,53-19-10,4-6,3-4,29-6-6,24-13-4,44-13-7,9-6-3,12-4-4,17-5-2,15-4-1,4-1-2,3-3-0,2-2-1,18-10-10,17-2-0,5-3-3,11-1-1,12-1-0,8-3-2,6-4-3,7-5-1,4-2-0
3,Detroit Red Wings,51-21-10,6-4,3-6,27-9-5,24-12-5,12-5-1,39-16-9,4-1-1,3-3-0,5-1-0,14-8-2,12-3-5,13-5-2,24-7-10,18-6-0,7-2-2,8-2-2,9-3-1,7-4-2,10-3-1,8-4-1,2-3-1
4,Washington Capitals,50-24-8,4-5,6-3,29-9-3,21-15-5,42-14-8,8-10-0,14-2-4,12-4-4,16-8-0,5-2-0,1-4-0,2-4-0,19-7-8,14-14-0,5-3-1,8-5-2,11-3-0,7-4-1,9-3-1,6-5-2,4-1-1
5,New Jersey Devils,51-27-4,6-2,9-2,28-12-1,23-15-3,39-22-3,12-5-1,13-10-1,13-5-2,13-7-0,4-1-1,4-1-0,4-3-0,25-5-4,18-13-0,5-2-2,7-6-0,9-4-1,11-3-0,8-4-0,7-6-1,4-2-0
6,Chicago Blackhawks,46-24-12,4-7,6-5,24-9-8,22-15-4,9-6-3,37-18-9,2-3-2,3-2-1,4-1-0,10-7-7,12-7-1,15-4-1,12-7-12,18-9-0,4-3-3,6-3-3,10-1-1,7-6-1,7-4-1,6-7-2,6-0-1
7,Vancouver Canucks,45-27-10,3-7,5-3,24-12-5,21-15-5,10-6-2,35-21-8,2-2-1,5-3-0,3-1-1,10-9-1,15-6-3,10-6-4,17-9-10,13-8-0,6-5-0,8-3-2,6-7-1,2-5-5,9-2-0,11-3-1,3-2-1
8,Pittsburgh Penguins,45-28-9,6-6,6-3,25-13-3,20-15-6,35-22-7,10-6-2,15-4-5,8-11-1,12-7-1,4-2-1,2-2-1,4-2-0,19-8-9,17-11-0,5-4-2,9-2-1,5-8-1,5-8-1,7-4-1,10-1-2,4-1-1
9,Philadelphia Flyers,44-27-11,4-6,6-5,24-13-4,20-14-7,36-20-8,8-7-3,13-7-4,10-8-2,13-5-2,1-4-0,3-3-0,4-0-3,18-11-11,14-11-0,4-3-3,7-4-2,9-3-2,6-4-2,7-3-1,8-7-0,3-3-1
10,Calgary Flames,46-30-6,3-2,3-4,27-10-4,19-20-2,10-7-1,36-23-5,3-2-0,6-2-0,1-3-1,11-7-2,14-8-2,11-8-1,21-9-6,17-14-0,6-3-1,8-6-0,8-2-3,8-3-0,7-4-2,6-9-0,3-3-0
