Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Jan,Feb,Mar,Apr
1,Chicago Blackhawks,36-7-5,6-5,5-0,18-3-3,18-4-2,,36-7-5,,,,16-1-1,10-3-2,10-3-2,19-3-5,10-1-0,6-0-1,11-0-2,9-5-0,10-2-2
2,Pittsburgh Penguins,36-12-0,3-0,2-0,18-6-0,18-6-0,36-12-0,,12-6-0,12-3-0,12-3-0,,,,13-2-0,10-5-0,4-3-0,9-5-0,15-0-0,8-4-0
3,Anaheim Ducks,30-12-6,6-3,1-3,16-7-1,14-5-5,,30-12-6,,,,10-2-3,12-3-0,8-7-3,14-2-6,9-5-0,3-1-1,11-2-0,9-4-4,7-5-1
4,Montreal Canadiens,29-14-5,3-2,2-3,14-7-3,15-7-2,29-14-5,,7-6-2,9-6-3,13-2-0,,,,12-6-5,14-6-0,4-2-0,9-2-3,9-3-2,7-7-0
5,Boston Bruins,28-14-6,4-3,1-3,16-5-3,12-9-3,28-14-6,,7-6-2,10-6-2,11-2-2,,,,13-7-6,7-2-0,5-1-1,8-1-1,9-6-2,6-6-2
6,St. Louis Blues,29-17-2,5-1,4-1,15-8-1,14-9-1,,29-17-2,,,,11-7-0,10-4-1,8-6-1,14-4-2,9-7-0,6-1-0,4-6-2,7-7-0,12-3-0
7,Los Angeles Kings,27-16-5,2-4,1-1,19-4-1,8-12-4,,27-16-5,,,,9-5-1,9-4-2,9-7-2,11-5-5,9-7-0,2-2-2,8-4-0,10-6-1,7-4-2
8,Vancouver Canucks,26-15-7,5-6,1-1,15-6-3,11-9-4,,26-15-7,,,,9-2-4,11-6-1,6-7-2,13-3-7,11-7-0,3-2-2,7-3-2,9-5-2,7-5-1
9,Washington Capitals,27-18-3,3-0,4-3,15-8-1,12-10-2,27-18-3,,4-9-2,8-6-1,15-3-0,,,,13-7-3,9-9-0,1-5-1,6-6-0,9-6-1,11-1-1
10,Toronto Maple Leafs,26-17-5,0-5,2-0,13-9-2,13-8-3,26-17-5,,8-5-2,10-6-2,8-6-1,,,,11-3-5,10-8-0,4-3-0,9-6-0,7-3-4,6-5-1
11,San Jose Sharks,25-16-7,8-4,0-3,17-2-5,8-14-2,,25-16-7,,,,4-7-4,12-2-1,9-7-2,14-6-7,7-5-0,7-0-0,2-6-4,8-5-2,8-5-1
12,New York Rangers,26-18-4,4-4,4-0,16-6-2,10-12-2,26-18-4,,10-6-2,6-8-1,10-4-1,,,,12-5-4,12-6-0,3-4-0,6-4-2,7-7-1,10-3-1
13,Ottawa Senators,25-17-6,4-4,2-2,15-6-3,10-11-3,25-17-6,,9-4-2,7-8-3,9-5-1,,,,11-10-6,5-3-0,5-1-1,7-5-2,7-4-3,6-7-0
14,Detroit Red Wings,24-16-8,2-5,2-3,13-7-4,11-9-4,,24-16-8,,,,6-6-6,9-5-1,9-5-1,10-6-8,11-6-0,3-2-1,7-6-2,7-5-2,7-3-3
15,Minnesota Wild,26-19-3,4-2,3-1,14-8-2,12-11-1,,26-19-3,,,,7-6-2,12-5-1,7-8-0,13-5-3,2-6-0,4-2-1,6-5-1,11-4-0,5-8-1
16,New York Islanders,24-17-7,4-3,2-4,10-11-3,14-6-4,24-17-7,,7-9-2,7-6-2,10-2-3,,,,10-3-7,10-6-0,4-2-1,4-9-1,8-5-1,8-1-4
17,Columbus Blue Jackets,24-17-7,5-4,5-3,14-5-5,10-12-2,,24-17-7,,,,9-6-3,7-5-3,8-6-1,14-7-7,5-5-0,2-5-1,3-7-2,10-2-4,9-3-0
18,Winnipeg Jets,24-21-3,2-3,4-0,13-10-1,11-11-2,24-21-3,,7-6-2,7-7-1,10-8-0,,,,13-4-3,5-11-0,3-3-1,7-6-0,8-7-1,6-5-1
19,Phoenix Coyotes,21-18-9,4-6,1-3,14-8-2,7-10-7,,21-18-9,,,,6-7-2,6-4-5,9-7-2,8-6-9,6-7-0,2-4-1,7-4-2,5-7-3,7-3-3
20,Philadelphia Flyers,23-22-3,1-2,2-1,15-7-2,8-15-1,23-22-3,,6-10-2,8-7-0,9-5-1,,,,11-4-3,5-12-0,2-5-0,8-6-1,5-6-2,8-5-0
21,Dallas Stars,22-22-4,2-1,2-3,11-11-2,11-11-2,,22-22-4,,,,4-9-2,8-7-0,10-6-2,10-10-4,7-10-0,2-4-1,8-5-1,6-6-1,6-7-1
22,Buffalo Sabres,21-21-6,7-4,1-2,11-10-3,10-11-3,21-21-6,,9-4-2,9-7-2,3-10-2,,,,13-9-6,3-6-0,3-3-1,5-9-0,5-5-5,8-4-0
23,New Jersey Devils,19-19-10,2-7,1-3,13-9-2,6-10-8,19-19-10,,10-6-2,2-7-6,7-6-2,,,,8-5-10,6-7-0,3-0-3,7-6-1,5-5-5,4-8-1
24,Edmonton Oilers,19-22-7,2-3,2-4,9-11-4,10-11-3,,19-22-7,,,,5-7-3,10-7-1,4-8-3,6-4-7,10-10-0,4-2-1,4-5-3,6-6-3,5-9-0
25,Calgary Flames,19-25-4,0-3,2-1,13-9-2,6-16-2,,19-25-4,,,,6-8-1,7-8-3,6-9-0,8-6-4,7-13-0,1-3-1,6-5-3,6-8-0,6-9-0
26,Carolina Hurricanes,19-25-4,1-1,1-3,9-14-1,10-11-3,19-25-4,,6-6-3,8-7-0,5-12-1,,,,6-3-4,6-15-0,2-3-0,8-5-1,6-7-1,3-10-2
27,Nashville Predators,16-23-9,2-6,3-3,11-9-4,5-14-5,,16-23-9,,,,3-11-4,6-6-3,7-6-2,7-7-9,6-13-0,2-2-3,7-5-2,5-7-2,2-9-2
28,Tampa Bay Lightning,18-26-4,1-3,1-1,12-10-2,6-16-2,18-26-4,,4-11-0,5-9-1,9-6-3,,,,5-12-4,10-3-0,5-1-0,4-9-1,6-8-0,3-8-3
29,Colorado Avalanche,16-25-7,2-2,3-5,12-9-3,4-16-4,,16-25-7,,,,6-6-3,5-13-0,5-6-4,9-6-7,4-11-0,3-4-0,5-4-3,4-10-1,4-7-3
30,Florida Panthers,15-27-6,3-1,1-5,8-11-5,7-16-1,15-27-6,,6-9-0,3-10-2,6-8-4,,,,7-6-6,5-18-0,2-5-0,4-4-5,5-10-1,4-8-0
