Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,New York Rangers,53-22-7,4-5,6-2,25-11-5,28-11-2,35-17-2,18-5-5,12-11-1,23-6-1,7-3-4,11-2-1,24-7-7,19-10-0,5-4-0,6-4-4,9-3-0,8-4-0,10-2-2,10-4-1,5-1-0
2,Montreal Canadiens,50-22-10,7-5,6-5,26-9-6,24-13-4,37-11-6,13-11-4,18-9-3,19-2-3,8-5-1,5-6-3,20-6-10,16-11-0,8-2-1,8-5-1,8-4-0,8-2-1,9-3-2,6-6-3,3-0-2
3,Anaheim Ducks,51-24-7,8-5,8-2,26-12-3,25-12-4,17-13-2,34-11-5,9-7-0,8-6-2,16-5-0,18-6-5,33-1-7,13-16-0,9-3-0,5-3-5,10-3-1,8-3-0,7-5-1,10-5-0,2-2-0
4,St. Louis Blues,51-24-7,9-4,5-3,27-12-2,24-12-5,21-8-3,30-16-4,10-3-3,11-5-0,17-11-1,13-5-3,25-7-7,18-10-0,5-3-1,11-3-1,6-6-1,9-1-1,9-5-0,6-5-3,5-1-0
5,Tampa Bay Lightning,50-24-8,3-5,4-3,32-8-1,18-16-7,34-15-5,16-9-3,21-5-4,13-10-1,6-5-3,10-4-0,19-9-8,17-7-0,7-3-1,9-3-1,8-5-2,8-4-0,6-4-2,9-5-1,3-0-1
6,Nashville Predators,47-25-10,6-6,8-4,28-9-4,19-16-6,20-10-2,27-15-8,11-4-1,9-6-1,15-9-5,12-6-3,30-7-10,12-8-0,6-2-2,10-3-0,8-4-1,7-2-3,10-4-1,6-7-2,0-3-1
7,Chicago Blackhawks,48-28-6,9-3,3-3,24-12-5,24-16-1,20-9-3,28-19-3,11-4-1,9-5-2,15-14-0,13-5-3,22-13-6,19-12-0,6-3-1,9-5-0,10-2-1,6-7-0,6-4-3,9-3-1,2-4-0
8,Vancouver Canucks,48-29-5,6-2,6-3,24-15-2,24-14-3,21-10-1,27-19-4,8-7-1,13-3-0,10-10-1,17-9-3,22-4-5,20-15-0,7-3-0,9-4-1,5-4-2,6-6-0,8-6-0,10-4-2,3-2-0
9,New York Islanders,47-28-7,7-6,6-1,25-14-2,22-14-5,33-16-5,14-12-2,12-10-2,21-6-3,6-6-2,8-6-0,26-10-7,16-10-0,6-4-0,11-3-0,8-4-1,7-5-0,9-5-1,4-6-3,2-1-2
10,Washington Capitals,45-26-11,5-4,5-7,23-13-5,22-13-6,33-13-8,12-13-3,16-4-4,17-9-4,6-8-0,6-5-3,21-14-11,14-4-0,4-3-2,6-6-2,8-2-3,7-3-3,8-6-0,9-5-0,3-1-1
11,Minnesota Wild,46-28-8,4-3,4-5,22-13-6,24-15-2,17-12-3,29-16-5,10-3-3,7-9-0,17-8-4,12-8-1,21-12-8,14-8-0,6-3-0,7-6-1,4-5-3,5-6-2,11-2-1,11-3-0,2-3-1
12,Detroit Red Wings,43-25-14,4-10,7-4,22-10-9,21-15-5,24-20-10,19-5-4,10-12-8,14-8-2,12-0-2,7-5-2,20-7-14,13-9-0,6-2-2,8-3-3,6-4-4,9-3-0,6-3-2,5-8-2,3-2-1
13,Ottawa Senators,43-26-13,6-7,7-6,23-13-5,20-13-8,27-18-9,16-8-4,17-9-4,10-9-5,5-6-3,11-2-1,21-12-13,13-7-0,5-2-2,5-7-2,5-5-3,5-5-2,7-4-1,11-3-2,5-0-1
14,Winnipeg Jets,43-26-13,7-6,4-7,23-13-5,20-13-8,17-10-5,26-16-8,9-5-2,8-5-3,16-8-5,10-8-3,19-7-13,14-12-0,4-5-1,8-4-3,7-3-3,7-5-1,5-3-4,8-6-0,4-0-1
15,Pittsburgh Penguins,43-27-12,4-6,6-6,23-14-4,20-13-8,25-21-8,18-6-4,16-4-4,9-17-4,7-4-3,11-2-1,17-4-12,14-14-0,6-2-1,10-3-1,7-4-3,5-4-3,7-4-1,7-6-2,1-4-1
16,Calgary Flames,45-30-7,4-3,9-4,23-13-5,22-17-2,14-14-4,31-16-3,8-5-3,6-9-1,9-10-2,22-6-1,19-14-7,17-11-0,6-4-2,9-4-0,6-7-1,6-5-0,6-5-1,9-3-3,3-2-0
17,Boston Bruins,41-27-14,4-10,9-4,24-10-7,17-17-7,30-16-8,11-11-6,15-9-6,15-7-2,6-6-2,5-5-4,19-9-14,10-8-0,6-6-0,8-3-1,5-6-3,8-1-3,4-6-2,8-3-4,2-2-1
18,Los Angeles Kings,40-27-15,2-8,1-7,25-9-7,15-18-8,16-12-4,24-15-11,9-6-1,7-6-3,10-8-3,14-7-8,13-9-15,13-11-0,6-3-2,6-4-3,6-5-3,3-4-4,8-4-0,8-5-2,3-2-1
